Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
1,w158853558,158853558,way,83.38,8.062333450765786,0.81,0.12,0.07
2,w158853559,158853559,way,113.18,10.943810265743243,0.04,0.78,0.18
3,w211715359,211715359,way,10997.95,1063.4341589691724,0.5599999999999999,0.29,0.15
4,w246792829,246792829,way,1277.89,123.5641076205216,0.53,0.32,0.15
6,w276462425,276462425,way,2101.84,203.23500767759128,0.37,0.36,0.27
9,w276734031,276734031,way,1163.4,112.49362840754276,0.71,0.23,0.06
11,w298890320,298890320,way,1126.56,108.93142686849008,0.41,0.31,0.28
12,w298890321,298890321,way,2210.93,213.7833400851715,0.04,0.48,0.48
13,w298890322,298890322,way,1670.16,161.49420527861582,0.59,0.29,0.12
16,w298890325,298890325,way,571.62,55.27214016702733,0.48,0.47,0.05
18,w298890327,298890327,way,194.17,18.775045408193723,0.59,0.0,0.41
19,w298890328,298890328,way,120.42,11.643873760388772,0.48,0.0499999999999999,0.47
20,w298890329,298890329,way,367.36,35.52145378356104,0.08,0.09,0.83
21,w298890330,298890330,way,215.02,20.79111224014943,0.29,0.13,0.58
22,w298890331,298890331,way,236.05,22.82458396561842,0.4,0.25,0.35
23,w298890332,298890332,way,117.8,11.3905358659176,0.1,0.15,0.75
26,w306190106,306190106,way,260.2,25.159740511984378,0.52,0.43,0.05
27,w310793316,310793316,way,43.11,4.168471996432155,0.45,0.05,0.5
29,w332759543,332759543,way,217.43,21.02414442552177,0.84,0.11,0.05
36,w332759550,332759550,way,270.89,26.193397798967904,0.47,0.3399999999999999,0.19
39,w332759553,332759553,way,156.4,15.122918585989074,0.41,0.27,0.32
40,w332759555,332759555,way,226.89,21.93886827349783,0.63,0.1999999999999999,0.17
41,w332759556,332759556,way,280.19,27.092650630487714,0.48,0.32,0.2
45,w370145123,370145123,way,226.76,21.926298072627123,0.32,0.45,0.23
47,w404706716,404706716,way,442.93,42.82860824355589,0.39,0.28,0.33
50,w451463764,451463764,way,148.36,14.34550000906227,0.28,0.32,0.4
54,w451463768,451463768,way,92.89,8.981891991384432,0.44,0.24,0.32
